Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
 1288575885, 3, 1905861, 86041, 61498, 69933, 645654, 12765495985, 45347867164, 40251, 443385, 7384647088, 10962007034, 443385, 669283, 2402961279, 3241440920, 148893, 291813, 24667, 140911, 33790625426, 33790625426, 12421946, 2161666941, 141603, 164702, 14176, 104844, 6579170914, 536222462, 10473518, 3668853724, 74294, 449907, 15319, 66366, 1029281324, 1714190947, 5935516, 90039467,
 1288576186, 1, 1884053, 85010, 53726, 69264, 656879, 12305070806, 40778400609, 39029, 419836, 7793615966, 13710563396, 419836, 668602, 2328432833, 4755436401, 155774, 308699, 26390, 129972, 32830187042, 32830187042, 14125859, 3619110613, 144552, 169303, 14057, 73186, 10576912474, 803293618, 27854006, 2247543789, 173080, 357614, 16042, 57678, 2001121725, 1005632139, 14011867, 595088279,
 1288576487, 2, 1773523, 80420, 48971, 66845, 651015, 11332873974, 48487199197, 34988, 426574, 8318641889, 12596771404, 426574, 566543, 2236519593, 1691200233, 153643, 300521, 23701, 133902, 35102398596, 35102398596, 10517403, 4730672926, 145600, 168748, 13781, 80358, 6990067602, 604695095, 10710228, 4844033835, 67468, 353121, 14086, 60182, 469697900, 579023733, 30442804, 62097759,
 1288576788, 1, 1753149, 84632, 47790, 69525, 633161, 12170908788, 58429361892, 35414, 403982, 7510007799, 15303838109, 403982, 583584, 2606972054, 3148667279, 146727, 303649, 24710, 122348, 47905147366, 47905147366, 12900429, 1948125448, 135702, 160760, 14087, 76623, 11500218621, 864670116, 32661404, 2847882313, 67348, 360309, 14352, 58138, 810275011, 1722150225, 10333114, 172723903,
 1288577089, 2, 1889056, 100271, 45323, 76610, 664965, 14675780747, 66355051081, 39135, 425058, 8374488719, 11155864069, 425058, 653439, 1643310785, 5242439034, 153324, 318581, 26505, 127821, 53882417859, 53882417859, 13906164, 3288102208, 151116, 163224, 14515, 77745, 6565330721, 559334447, 10993527, 3872017755, 75405, 423635, 15990, 59406, 2667309549, 821650062, 9733020, 603638131,
 1288577390, 2, 1713065, 85975, 44993, 69312, 607516, 10036598076, 34875469814, 37289, 398982, 7109811039, 12980175501, 398982, 575599, 1988483322, 1679939208, 148245, 278438, 24134, 119395, 25901761303, 25901761303, 11325206, 2859251855, 145404, 154264, 13671, 68350, 9880361073, 789613453, 23876849, 2246313224, 75462, 350465, 14424, 62009, 466990847, 686834127, 12049289, 114731156,
 1288577691, 2, 1732688, 80753, 45315, 66887, 621618, 11980005347, 28686834846, 35050, 398617, 6421912378, 10195345793, 398617, 586385, 2582146292, 2443731945, 143224, 290787, 24550, 124566, 20114022063, 20114022063, 14286977, 1572838097, 141186, 156417, 13968, 69537, 5980067750, 584617961, 7783828, 3442469404, 71970, 355933, 14518, 58714, 780367619, 1188245528, 15322531, 96532856,
 1288577992, 2, 1869623, 87094, 81198, 79436, 662029, 9358642075, 28881417703, 36299, 413837, 6367209733, 12722516178, 413837, 625465, 1090100400, 4611232311, 142721, 317799, 25848, 139251, 22307341874, 22307341874, 13702473, 2851734075, 147218, 160512, 14585, 73538, 9391150928, 758492972, 25305212, 2455582838, 89528, 376271, 15841, 79791, 2267208831, 813197993, 11431013, 571110687,
 1288578293, 2, 1853711, 82840, 168016, 97367, 634625, 9175991050, 39925785710, 37874, 411659, 6633296020, 9883615170, 411659, 556571, 2139681751, 1557574799, 142099, 299490, 24222, 131560, 26886480244, 26886480244, 11653996, 3810888831, 142664, 159100, 14225, 77874, 5733013095, 601791718, 10314272, 3384210715, 70407, 355170, 14540, 54394, 476637739, 692137250, 7515080, 69340331,
 1288578594, 2, 1810819, 79391, 159187, 92067, 610198, 9899671244, 38173554930, 35136, 398179, 5866726937, 11943888838, 398179, 563864, 1726225633, 2772963811, 139582, 283131, 24990, 126553, 28524357554, 28524357554, 12161516, 2445861410, 137027, 152935, 13848, 77585, 8295659776, 677512123, 10936993, 2919510815, 70829, 357123, 14456, 53774, 788770650, 1410706445, 16388605, 147799549,
