Time, DurationAdd, BiFlowsIn, SocketsIn, SocketsOut, FlowsBiMonitored, FlowsBiNotMonitored, BytesBiMonitored, BytesBiNotMonitored, FlowsUniOutMonitored, FlowsUniOutNotMonitored, BytesUniOutMonitored, BytesUniOutNotMonitored, FlowsUniInMonitored, FlowsUniInNotMonitored, BytesUniInMonitored, BytesUniInNotMonitored, FlowsBiNMOutHighInHigh, FlowsBiNMOutHighInLow, FlowsBiNMOutLowInLow, FlowsBiNMOutLowInHigh, BytesBiNMOutHighInHigh, BytesBiNMOutHighInLow, BytesBiNMOutLowInLow, BytesBiNMOutLowInHigh, FlowsUniOutNMOutHighInHigh, FlowsUniOutNMOutHighInLow, FlowsUniOutNMOutLowInLow, FlowsUniOutNMOutLowInHigh, BytesUniOutNMOutHighInHigh, BytesUniOutNMOutHighInLow, BytesUniOutNMOutLowInLow, BytesUniOutNMOutLowInHigh, FlowsUniInNMOutHighInHigh, FlowsUniInNMOutHighInLow, FlowsUniInNMOutLowInLow, FlowsUniInNMOutLowInHigh, BytesUniInNMOutHighInHigh, BytesUniInNMOutHighInLow, BytesUniInNMOutLowInLow, BytesUniInNMOutLowInHigh,
1288575885, 3, 1905861, 465398, 300768, 393568, 322019, 12867411492, 45245951657, 245190, 238446, 7432873167, 10913780955, 238446, 580025, 2414411022, 3229991177, 148893, 94925, 23775, 15056, 33790625426, 33790625426, 11370170, 2127137068, 141603, 32933, 13640, 32210, 6579170914, 495569677, 9192783, 3662561165, 74294, 400872, 15054, 26408, 1029281324, 1710258894, 5871925, 82585368,
1288576186, 3, 1884053, 483471, 272369, 399797, 326346, 12411308687, 40672162728, 235220, 223645, 7842404374, 13661774988, 223645, 579042, 2342637483, 4741231751, 155774, 94680, 25457, 14391, 32830187042, 32830187042, 13138900, 3587130019, 144552, 35727, 13513, 11115, 10576912474, 763433978, 24409342, 2242059685, 173080, 308434, 15800, 17540, 2001121725, 998833894, 13956314, 587737427,
1288576487, 3, 1773523, 470591, 278703, 392606, 325254, 11437129646, 48382943525, 237211, 224351, 8368580431, 12546832862, 224351, 475424, 2249471394, 1678248432, 153643, 95646, 22812, 13905, 35102398596, 35102398596, 9348277, 4697520457, 145600, 33750, 13204, 13710, 6990067602, 562092232, 9213308, 4838195076, 67468, 304464, 13871, 17935, 469697900, 573831420, 30402930, 54378145,
1288576788, 3, 1753149, 463853, 259283, 378290, 324396, 12270353874, 58329916806, 226424, 212972, 7557157349, 15256688559, 212972, 493448, 2618448468, 3137190865, 146727, 104289, 23874, 13779, 47905147366, 47905147366, 12130059, 1917718766, 135702, 32570, 13555, 14335, 11500218621, 825577732, 30067921, 2842418630, 67348, 310241, 14090, 18332, 810275011, 1718188940, 10271766, 165270122,
1288577089, 3, 1889056, 493481, 266231, 400529, 341046, 14781531734, 66249300094, 236450, 227743, 8422767120, 11107585668, 227743, 561457, 1654584684, 5231165135, 153324, 107973, 25514, 15501, 53882417859, 53882417859, 12701015, 3256349916, 151116, 32997, 13927, 11245, 6565330721, 519081403, 8706342, 3866279583, 75405, 373077, 15701, 18271, 2667309549, 817607112, 9670694, 596469508,
1288577390, 2, 1713065, 438112, 248530, 356087, 320741, 10129900276, 34782167614, 217986, 218285, 7154959984, 12935026556, 218285, 488237, 1999362377, 1669060153, 148245, 96888, 23278, 15026, 25901761303, 25901761303, 10354763, 2830485309, 145404, 31389, 13136, 11063, 9880361073, 752730084, 20615598, 2241308899, 75462, 304385, 14161, 20990, 466990847, 683112882, 11992293, 107630342,
1288577691, 3, 1732688, 443308, 251440, 363734, 324771, 12074329143, 28592511050, 218505, 215162, 6468312372, 10148945799, 215162, 498757, 2593088446, 2432789791, 143224, 104056, 23671, 15329, 20114022063, 20114022063, 13259194, 1543261778, 141186, 31024, 13502, 11941, 5980067750, 544543289, 6478986, 3437448924, 71970, 307064, 14275, 20198, 780367619, 1184317544, 15268238, 89572979,
1288577992, 3, 1869623, 466654, 301959, 404024, 337441, 9478720657, 28761339121, 223214, 226922, 6413413748, 12676312163, 226922, 537482, 1101352002, 4599980709, 142721, 111253, 24884, 22173, 22307341874, 22307341874, 12572326, 2819167560, 147218, 36392, 14062, 11266, 9391150928, 720849462, 22168603, 2450158942, 89528, 329108, 15571, 39241, 2267208831, 809224429, 11377681, 563885981,
1288578293, 2, 1853711, 439740, 390958, 402037, 329955, 9273321515, 39828455245, 225459, 224074, 6678012902, 9838898288, 224074, 469760, 2150475063, 1546781487, 142099, 113633, 23393, 13576, 26886480244, 26886480244, 10555825, 3777894933, 142664, 37151, 13686, 12777, 5733013095, 563984339, 9081935, 3378533549, 70407, 307684, 14276, 15333, 476637739, 688313476, 7460889, 62424984,
1288578594, 2, 1810819, 432793, 373890, 380786, 321479, 9992523205, 38080702969, 216953, 216362, 5909400877, 11901214898, 216362, 467074, 1737756651, 2761432793, 139582, 107314, 24148, 14493, 28524357554, 28524357554, 11228611, 2414364962, 137027, 34928, 13335, 14288, 8295659776, 642619431, 8639001, 2914027559, 70829, 299090, 14237, 15236, 788770650, 1406129578, 16342937, 140891066,
