# VTS_0.9ratio, cdf
1052.0, 0.976229737489142
944.0, 0.966762856848397
869.0, 0.959865137439084
803.0, 0.954469162703729
292.0, 0.876444693099336
692.0, 0.94703405426893
386.0, 0.889077015944995
412.0, 0.891594646721927
275.0, 0.866109156225615
506.0, 0.908091753654982
369.0, 0.887170389128546
870.0, 0.96000500581558
593.0, 0.927872086688947
395.0, 0.89000456412597
489.0, 0.904477260346579
618.0, 0.931766316750342
1111.0, 0.979211142356561
1028.0, 0.974632293399685
849.0, 0.957995318090134
614.0, 0.931184758763858
361.0, 0.886360624843568
680.0, 0.946268458944951
267.0, 0.857606631233345
344.0, 0.884586504910116
519.0, 0.911198303911898
916.0, 0.964142165162468
581.0, 0.925774061041504
515.0, 0.910138248847926
775.0, 0.952643512315779
404.0, 0.890932112306945
