# CESNET
141.217.48.51/32, planetlab, planetlab2.cs.wayne.edu
141.217.48.50/32, planetlab, planetlab1.cs.wayne.edu
# EPFL
192.33.210.16/32, planetlab, lsirextpc01.epfl.ch
192.33.210.17/32, planetlab, lsirextpc02.epfl.ch
# Utah
155.98.35.6/32, planetlab, planetlab5.flux.utah.edu
155.98.35.5/32, planetlab, planetlab4.flux.utah.edu
155.98.35.7/32, planetlab, planetlab6.flux.utah.edu
155.98.35.8/32, planetlab, planetlab7.flux.utah.edu
# Rice
128.42.142.43/32, planetlab, ricepl-3.cs.rice.edu
128.42.142.42/32, planetlab, ricepl-2.cs.rice.edu
128.42.142.41/32, planetlab, ricepl-1.cs.rice.edu
128.42.142.45/32, planetlab, ricepl-5.cs.rice.edu
128.42.142.44/32, planetlab, ricepl-4.cs.rice.edu
# UCL
130.104.72.200/32, planetlab, onelab1.info.ucl.ac.be
130.104.72.201/32, planetlab, onelab2.info.ucl.ac.be
130.104.72.213/32, planetlab, onelab3.info.ucl.ac.be
# TAU
192.114.4.3/32, planetlab, planetlab2.tau.ac.il
192.114.4.2/32, planetlab, planetlab1.tau.ac.il
# UConn
137.99.11.86/32, planetlab, planetlab1.engr.uconn.edu
137.99.11.87/32, planetlab, planetlab2.engr.uconn.edu
# Hopkins
128.220.231.5/32, planetlab, planetlab4.cnds.jhu.edu
128.220.231.4/32, planetlab, planetlab3.cnds.jhu.edu
128.220.231.2/32, planetlab, planetlab1.cnds.jhu.edu
128.220.231.3/32, planetlab, planetlab2.cnds.jhu.edu
# Koc University
88.255.65.220/32, planetlab, planet2.ku.edu.tr
88.255.65.219/32, planetlab, planet1.ku.edu.tr
# University of Waterloo
129.97.74.12/32, planetlab, plink.cs.uwaterloo.ca
129.97.74.14/32, planetlab, plonk.cs.uwaterloo.ca
# fctunl
193.136.124.226/32, planetlab, planetlab1.di.fct.unl.pt
193.136.124.228/32, planetlab, planetlab2.di.fct.unl.pt
# JAIST
150.65.32.68/32, planetlab, planet1.jaist.ac.jp
150.65.32.66/32, planetlab, planet0.jaist.ac.jp
# University of Denver
130.253.21.123/32, planetlab, planetlab2.cs.du.edu
130.253.21.121/32, planetlab, planetlab1.cs.du.edu
# JHU Info Security
128.220.247.29/32, planetlab, planetlab2.isi.jhu.edu
128.220.247.28/32, planetlab, planetlab1.isi.jhu.edu
# Kaiserslautern
131.246.19.202/32, planetlab, planetlab2.informatik.uni-kl.de
131.246.19.201/32, planetlab, planetlab1.informatik.uni-kl.de
# Telekomunikacja Polska - Swidnik
